FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,village,barrage_nom_officiel,barrage_type,barrage_utilisation,centroid_lon,centroid_lat,region_nom_bdd_norm,prefecture_nom_bdd_norm,canton_nom_bdd_norm,source,prefecture_nom_bdd_clean
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_48c3,Maritime,Avé,Avé 2,Badja,Badja,Nsp,Retenue d'eau,{autre},0.9943055786461166,6.3764278939967385,maritime,ave,badja,retenues_eau,ave
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_48c4,Maritime,Avé,Avé 2,Badja,Sanvikope,Citerne,Retenue d'eau,{autre},0.9691531455054221,6.370711592258583,maritime,ave,badja,retenues_eau,ave
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_48c5,Maritime,Avé,Avé 2,Badja,Sanvicope,Citerne,Retenue d'eau,{autre},0.9698767144497713,6.371898896555798,maritime,ave,badja,retenues_eau,ave
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_48c6,Maritime,Avé,Avé 2,Badja,Sanvicope,Citerne,Retenue d'eau,{autre},0.9694848135875901,6.370960171407117,maritime,ave,badja,retenues_eau,ave
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_48c7,Maritime,Avé,Avé 2,Badja,Sanvicope,Citerne,Retenue d'eau,{autre},0.9688815842297529,6.3712488961346585,maritime,ave,badja,retenues_eau,ave
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_48c8,Maritime,Avé,Avé 2,Badja,Sanvicope,Citerne,Retenue d'eau,{autre},0.9687839513752828,6.371047543494363,maritime,ave,badja,retenues_eau,ave
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_48c9,Maritime,Avé,Avé 2,Badja,Sanvicope,Citerne,Retenue d'eau,{autre},0.9689549758911166,6.37103123483672,maritime,ave,badja,retenues_eau,ave
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_48ca,Maritime,Avé,Avé 2,Badja,Sanvecope,Citerne,Retenue d'eau,{autre},0.968910979785196,6.370847896094309,maritime,ave,badja,retenues_eau,ave
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_48cb,Maritime,Avé,Avé 2,Badja,Sanvicope,Citerne,Retenue d'eau,{autre},0.9688501826244096,6.370942338109789,maritime,ave,badja,retenues_eau,ave
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_48cc,Maritime,Avé,Avé 2,Badja,Sanvi Kope,Citerne,Retenue d'eau,{autre},0.9688933691625329,6.370793897422016,maritime,ave,badja,retenues_eau,ave
